Institute Id,Institute Name,City,State
IR-1-C-C-C-11557,Kuriakose Gregorios College,Kottayam,Kerala
IR-1-C-C-C-11582,St. Teresa`s College,Ernakulam,Kerala
IR-1-C-C-C-11831,S. B. College,Kottayam,Kerala
IR-1-C-C-C-20872,St. Josephs Arts & Science College,Bengaluru,Karnataka
IR-1-C-C-C-22466,Lakshmi Bai College,Delhi,Delhi
IR-1-C-C-C-29312,Post Graduate Government College for Girls,Chandigarh,Chandigarh
IR-1-C-C-C-35787,Holy Cross College,Kanyakumari,Tamil Nadu
IR-1-C-C-C-35832,Jamal Mohamed College,Tiruchirappalli,Tamil Nadu
IR-1-C-C-C-35878,National College,Tiruchirappalli,Tamil Nadu
IR-1-C-C-C-36487,V. V. Vanniaperumal College for Women,Virudhnagar,Tamil Nadu
IR-1-C-C-C-36547,The American College,Madurai,Tamil Nadu
IR-1-C-C-C-41035,Government Arts College,Tiruppur,Kerala
IR-1-C-C-C-41035,Government Arts College,Coimbatore,Kerala
IR-1-C-C-C-41104,Kongu Arts & Science College,Erode,Tamil Nadu
IR-1-C-C-C-41134,Rathinam College of Arts and Science,Coimbatore,Tamil Nadu
IR-1-C-C-C-41173,St. Xavier's College,Palayamkottai,Tamil Nadu
IR-1-C-C-C-41434,Bharati Vidyapeeth`s College of Fine Arts,Pune,Maharashtra
IR-1-C-C-C-6397,College of Vocational Studies,New Delhi,Delhi
IR-1-C-C-C-6401,Shaheed Bhagat Singh College (Evening),Delhi,Delhi
IR-1-C-C-C-8106,St. Joseph's College,Thrissur,Kerala
IR-1-E-E-C-1262,B. M. S. College of Engineering,Bengaluru,Karnataka
IR-1-E-E-C-1269,R. V. College of Engineering,Bengaluru,Karnataka
IR-1-E-E-C-1352,NITTE Meenakshi Institute of Technology,Bengaluru,Karnataka
IR-1-E-E-C-24004,AU College of Engineering,Visakhapatnam,Andhra Pradesh
IR-1-E-E-U-0014,International Institute of Information Technology,Hyderabad,Telangana
IR-1-M-M-I-1064,International Management Institute New Delhi,New Delhi,Delhi
IR-1-M-M-I-1238,Institute for Financial Management and Research,Satyavedu,Andhra Pradesh
IR-1-M-M-S-132,Xavier Labour Relations Institute,Jamshedpur,Jharkhand
IR-1-O-D-C-45515,PSG Institute of Medical Sciences & Research,Coimbatore,Tamil Nadu
IR-1-O-D-C-47762,Mahatma Gandhi Medical College and Research Institute,Puducherry,Pondicherry
IR-1-O-D-U-0036,Sri Venkateswara Institute of Medical Sciences,Tirupati,Andhra Pradesh
IR-1-O-D-U-0294,D. Y. Patil Educational Society,Kolhapur,Maharashtra
IR-1-O-O-U-0121,Goa University,Goa,Goa
IR-1-O-O-U-0146,Nirma University,Ahmedabad,Gujarat
IR-1-O-O-U-0246,University of Agricultural Sciences,Dharwad,Karnataka
